"ID","NAME"
"p69-victor","Partenavia P.69 Victor"
"astra","IAI 1125 Astra"
"learjet-23-29","Learjet 23-29"
"learjet-35-36","Learjet 35/36"
"learjet-45","Learjet 45"
"learjet-55-60","Learjet 55/60"
"jetstar-ii","Lockheed Martin Jetstar II"
"hansa-jet","MBB HFB 320 Hansa"
"avanti","Piaggio P.180 Avanti"
"chieftain","Pilatus PA-31-350 Chieftain"
"beechjet","Raytheon (Beechcraft) 400A Beechjet"
"king-air","Raytheon (Beechcraft) King Air"
"starship","Raytheon (Beechcraft) Starship 1"
"bae125","Raytheon (BAe) 125"
"hawker-800-xp","Raytheon (BAe) Hawker 800"
"hawker-1000","Raytheon (BAe) Hawker 1000"
"sabreliner","Rockwell Sabreliner"
"starcraft","Starcraft SK-700"
"sj30","Swearingen SJ30"
"vantage","Visionaire VA-10 Vantage"
"boero-115","Aero Boero 115"
"skyrocket","AviaBellanca Skyrocket"
"viking","AviaBellanca Viking"
"c152-aerobat","Cessna 152 Aerobat"
"c172-skyhawk","Cessna 172 Skyhawk"
"c180-skywagon","Cessna 180 Skywagon"
"c210-centurion","Cessna 210 Centurion"
"c303-crusader","Cessna T303 Crusader"
"c310","Cessna 310"
"c340a","Cessna 340A"
"c402-421","Cessna 401/402/421"
"c-cardinal-rg","Cessna Cardinal RGII"
"c-stationair-6","Cessna Stationair 6"
"c-titan","Cessna Titan"
"cirrus-sr20","Cirrus Design SR-20"
"eagle-xts","EAM Eagle X-TS"
"namcu","ENAER Namcu"
"extra-300","Extra 300"
"rf6-sportsman","Fournier RF6-180 Sportsman"
"aero-subaru","Fuji FA-200 Aero Subaru"
"as202-bravo","FFA AS202 Bravo"
"optica","FLS Optica"
"pinguino","General Avia Pinguino"
"grob-g115","Grob G115"
"grob-acro","Grob G115T Acro"
"grob-gf200","Grob GF200"
"aa1c-lynx","Gulfstream AA-1C"
"cheetah-tiger","Gulfstream AA-5A Cheetah"
"ga7-cougar","Gulfstream GA-7 Cougar"
"st50","Istravion ST-50"
"lake-renegade","Lake La-250 Renegade"
"falco","Laverda Falco F8"
"l200-morava","Let L-200 Morava"
"mooney-ranger","Mooney Ranger"
"cap10b","Mudry CAP 10B"
"super-cub","Piper PA-18 Super Cub"
"aztec","Piper PA-23 Aztec"
"cherokee","Piper PA-28 Cherokee"
"twin-comanche","Piper PA-30 Twin Comanche"
"navajo","Piper PA-31 Navajo"
"cheyenne-ii","Piper PA-31T Cheyenne II"
"saratoga","Piper PA-32 Saratoga"
"seneca","Piper PA-34 Seneca"
"cheyenne-iii","Piper PA-42 Cheyenne III"
"seminole","Piper PA-44 Seminole"
"malibu","Piper PA-46 Malibu Mirage"
"arrow","Piper PA-28 Arrow"
"wilga","PZL-Warszawa PZL-104 Wilga"
"baron","Raytheon (Beechcraft) B58 Baron"
"duchess","Raytheon (Beechcraft) B76 Duchess"
"bonanza-f33","Raytheon (Beechcraft) Model F33A Bonanza"
"bonanza-v35","Raytheon (Beechcraft) V35B Bonanza"
"sierra200","Raytheon (Beechcraft) Sierra 200"
"skipper","Raytheon (Beechcraft) Skipper"
"robin-atl","Robin ATL Club"
"robin-dr400","Robin DR400"
"rockwell-commander","Rockwell Commander 114"
"tampico","Socata TB9 Tampico"
"rallye","Socata Rallye"
"su26","Sukhoi Su-26"
"hansa3","TAAL Hansa 3"
"zlin-z50","Zlin Z50L"
"zlin-z142","Zlin Z142"
"a109","Agusta A 109"
"a129","Agusta A 129 Mangusta"
"ab212","Agusta-Bell AB 212"
"a119-koala","Agusta A 119 Koala"
"as61-sea-king","Agusta-Sikorsky AS-61"
"bell47","Bell Model 47"
"jet-ranger","Bell Model 206 Jet Ranger"
"long-ranger","Bell Model 206L-4 LongRanger"
"bell430","Bell Model 430"
"huey","Bell UH-1 Iroquois (Huey)"
"twin-huey","Bell UH-1N Iroquois (Twin Huey)"
"kiowa","Bell OH-58D Kiowa Warrior"
"ah1-cobra","Bell AH-1 Cobra"
"v22-osprey","Bell/Boeing V-22 Osprey"
"apache","Boeing AH-64 Apache"
"sea-knight","Boeing CH-46 Sea Knight"
"chinook","Boeing CH-47 Chinook"
"md500-defender","Boeing MD-500 Defender"
"md500e","Boeing MD-500E"
"md520-notar","Boeing MD-520 NOTAR"
"explorer","Boeing Explorer"
"comanche","Boeing/Sikorsky RAH-66 Comanche"
"brantly-b2","Brantly B-2"
"rooivalk","Denel (Atlas) Rooivalk"
"eh101-merlin","EHI EH-101 Merlin"
"enstrom-f28","Enstrom F28"
"puma","Eurocopter (Aerospatiale) SA 330 Puma"
"super-puma","Eurocopter (Aerospatiale) AS 332 Super Puma"
"ecureuil","Eurocopter AS 350 Ecureuil"
"dauphin","Eurocopter AS 365 Dauphin 2"
"ec135","Eurocopter EC 135"
"lama","Eurocopter (Aerospatiale) SA 315B Lama"
"alouette-iii","Eurocopter (Aerospatiale) SA 316/319 Alouette III"
"gazelle","Eurocopter (Aerospatiale) SA 341/342 Gazelle"
"bo105","Eurocopter (MBB) BO-105"
"tiger","Eurocopter Tiger"
"lynx","GKN Westland Lynx"
"dhruv","HAL Advanced Light Helicopter (Dhruv)"
"kmax","Kaman K-Max"
"seasprite","Kaman SH-2F Seasprite"
"ka25","Kamov Ka-25 Hormone"
"ka27-helix","Kamov Ka-27 Helix"
"ka50-hokum","Kamov Ka-50 Hokum"
"mi2-hoplite","Mil Mi-2 Hoplite"
"mi6-hook","Mil Mi-6 Hook"
"mi8-hip","Mil Mi-8/17 Hip"
"mi24-hind","Mil Mi-24 Hind"
"mi26-halo","Mil Mi-26 Halo"
"mi28-havoc","Mil Mi-28 Havoc"
"nh90","NHI NH-90"
"w3-sokol","PZL Swidnik W-3 Sokol"
"r22","Robinson R22 Beta"
"r44","Robinson R44 Astro/Raven"
"schweizer300","Schweizer Model 300"
"s58-choctaw","Sikorsky S-58"
"s61-sea-king","Sikorsky S-61 (SH-3 Sea King)"
"s64-skycrane","Sikorsky S-64 Skycrane"
"s65-stallion","Sikorsky S-65 (CH-53 Sea Stallion)"
"s70-black-hawk","Sikorsky S-70 (UH-60 Black Hawk)"
"s76-spirit","Sikorsky S-76 Spirit"
"s80-super-stallion","Sikorsky S-80 (CH-53E Super Stallion)"
"xingu","EMBRAER EMB-121 Xingu"
"gulfstream-ii-iii","Gulfstream II/III"
"gulfstream-iv-v","Gulfstream IV/V"
"raytheon-125","Raytheon (BAe) 125"
"hawker-800","Raytheon (BAe) Hawker 800"
"starcraft-sk700","Starcraft SK-700"
"c401-402-421","Cessna 401/402/421 Golden Eagle"
"sr20","Cirrus Design SR-20"
"extra300","Extra 300"
"rf6-180","Fournier/Sportavia RF6-180 Sportsman"
"g115","Grob G115"
"g115t-acro","Grob G115T Acro"
"gf200","Grob GF 200"
"aa1c","Gulfstream AA-1C"
"aa5a-cheetah","Gulfstream AA-5A Cheetah"
"la250-renegade","Lake La-250 Renegade"
"falco-f8","Laverda Falco F8"
"pa18-supercub","Piper PA-18 Super Cub"
"pa23-aztec","Piper PA-23 Aztec"
"pa28-cherokee","Piper PA-28 Cherokee"
"pa30-twin-comanche","Piper PA-30 Twin Comanche"
