id,name
an38,"Antonov An-38"
atr42-72,"ATR 42/72"
gf200,"Grob GF 200"
aa1c,"Gulfstream AA-1C"
aa5a-cheetah,"Gulfstream AA-5A Cheetah"
la250-renegade,"Lake La-250 Renegade"
falco-f8,"Laverda Falco F8"
pa18-supercub,"Piper PA-18 Super Cub"
pa23-aztec,"Piper PA-23 Aztec"
pa28-cherokee,"Piper PA-28 Cherokee"
pa30-twin-comanche,"Piper PA-30 Twin Comanche"
pa31-navajo,"Piper PA-31 Navajo"
pa31t-cheyenne-ii,"Piper PA-31T Cheyenne II"
pa32-saratoga,"Piper PA-32 Saratoga"
pa34-seneca,"Piper PA-34 Seneca"
pa42-cheyenne-iii,"Piper PA-42 Cheyenne III"
pa44-seminole,"Piper PA-44 Seminole"
pa46-malibu,"Piper PA-46 Malibu Mirage"
pa28-arrow,"Piper PA-28 Arrow"
b58-baron,"Raytheon (Beechcraft) B58 Baron"
b60-duke,"Raytheon (Beechcraft) B60 Duke"
b76-duchess,"Raytheon (Beechcraft) B76 Duchess"
f33a-bonanza,"Raytheon (Beechcraft) F33A Bonanza"
v35b-bonanza,"Raytheon (Beechcraft) V35B Bonanza"
sierra-200,"Raytheon (Beechcraft) Sierra 200"
atl-club,"Robin ATL Club"
hr100,"Robin HR100"
hr200,"Robin HR200"
dr400,"Robin DR400"
r3000,"Robin R3000"
tb9-tampico,"Socata TB9 Tampico"
hansa-3,"TAAL Hansa 3"
a129-mangusta,"Agusta A 129 Mangusta"
as61,"Agusta/Sikorsky AS-61"
cobra,"Bell AH-1 Cobra/SuperCobra"
osprey,"Bell/Boeing V-22 Osprey"
defender,"Boeing (McDonnell Douglas) MD-500 Defender"
md520,"Boeing (McDonnell Douglas) Model 520"
eh101-utility,"EHI EH-101 Merlin Utility"
sa330-puma,"Eurocopter SA 330 Puma"
as332-super-puma,"Eurocopter AS 332 Super Puma"
as550-ecureuil,"Eurocopter AS 550/555 Ecureuil"
as365-dauphin-2,"Eurocopter AS 365 Dauphin 2"
sa315b-lama,"Eurocopter (Aerospatiale) SA 315B Lama II"
sa316-alouette-iii,"Eurocopter (Aerospatiale) SA 316/319 Alouette III"
sa341-gazelle,"Eurocopter (Aerospatiale) SA 341 Gazelle"
westland-lynx,"GKN Westland Lynx"
westland-sea-king,"GKN Westland Sea King"
westland-wasp,"GKN Westland Wasp"
westland-wessex,"GKN Westland Wessex"
hal-alh,"HAL Advanced Light Helicopter"
hiller-uh12e,"Hiller UH-12E"
kaman-kmax,"Kaman K-max"
kaman-sh2,"Kaman SH-2 Seasprite"
kamov-ka25,"Kamov Ka-25 Hormone"
kamov-ka27,"Kamov Ka-27 Helix A"
kamov-ka29,"Kamov Ka-29 Helix-B"
kamov-ka50,"Kamov Ka-50 Hokum"
kamov-ka126,"Kamov Ka-126 Hoodlum"
kawasaki-xoh1,"Kawasaki XOH-1"
mil-mi2,"Mil Mi-2 Hoplite"
mil-mi6,"Mil Mi-6 Hook"
mil-mi8,"Mil Mi-8 Hip"
mil-mi14,"Mil Mi-14 Haze"
mil-mi17,"Mil Mi-17 Hip"
mil-mi24,"Mil Mi-24 Hind"
mil-mi26,"Mil Mi-26 Halo"
mil-mi28,"Mil Mi-28 Havoc"
mil-mi34,"Mil Mi-34 Hermit"
sokol,"PZL Swidnik W-3 Sokol"
pzl-sw4,"PZL SW-4"
r22-beta,"Robinson R22 Beta"
r44-astro,"Robinson R44 Astro"
schweizer-300,"Schweizer Model 300"
sikorsky-s58,"Sikorsky S-58"
sea-king,"Sikorsky S-61 Sea King"
s61n,"Sikorsky S-61N"
s61r-ch3,"Sikorsky S-61R CH-3"
s62,"Sikorsky S-62"
skycrane,"Sikorsky S-64 Skycrane"
sea-stallion,"Sikorsky S-65A/CH-53 Sea Stallion"
black-hawk,"Sikorsky S-70 UH-60 Black Hawk"
pave-hawk,"Sikorsky MH-60 Pave Hawk"
seahawk,"Sikorsky S-70A SH-60B Seahawk"
s76,"Sikorsky S-76"
super-sea-stallion,"Sikorsky S-80 CH-53E Super Sea Stallion"
a380,"Airbus A380"
b787-dreamliner,"Boeing 787 Dreamliner"
a350-xwb,"Airbus A350 XWB"
f35-lightning-ii,"Lockheed Martin F-35 Lightning II"
su57-felon,"Sukhoi Su-57 Felon"
j20-mighty-dragon,"Chengdu J-20"
a400m-atlas,"Airbus A400M Atlas"
mq9-reaper,"General Atomics MQ-9 Reaper"
tb2-bayraktar,"Baykar Bayraktar TB2"
h160,"Airbus Helicopters H160"
sr71-blackbird,"Lockheed SR-71 Blackbird"
a220,"Airbus A220"
b737-max,"Boeing 737 MAX"
b21-raider,"Northrop Grumman B-21 Raider"
p8-poseidon,"Boeing P-8 Poseidon"
rq4-globalhawk,"Northrop Grumman RQ-4 Global Hawk"
spitfire,"Supermarine Spitfire"
shahed-136,"Shahed 136"
j10-vigorous-dragon,"Chengdu J-10"
e195-e2,"Embraer E195-E2"
p51-mustang,"North American P-51 Mustang"
b17-flying-fortress,"Boeing B-17 Flying Fortress"
bf109,"Messerschmitt Bf 109"
vision-jet,"Cirrus Vision SF50"
c919,"COMAC C919"
vulcan,"Avro Vulcan"
me262,"Messerschmitt Me 262 Schwalbe"
da42,"Diamond DA42 Twin Star"
a6m-zero,"Mitsubishi A6M Zero"
b29-superfortress,"Boeing B-29 Superfortress"
de-havilland-comet,"de Havilland Comet"
tu144-charger,"Tupolev Tu-144"
fokker-dr1,"Fokker Dr.I"
caravelle,"Sud Aviation Caravelle"
tejas-lca,"HAL Tejas"
jf17-thunder,"JF-17 Thunder"
kai-t50,"KAI T-50 Golden Eagle"
be200-altair,"Beriev Be-200 Altair"
icon-a5,"Icon A5"
vickers-vimy,"Vickers Vimy"
hurricane,"Hawker Hurricane"
fw190,"Focke-Wulf Fw 190 Würger"
p38-lightning,"Lockheed P-38 Lightning"
ju87-stuka,"Junkers Ju 87 Stuka"
f4u-corsair,"Vought F4U Corsair"
b24-liberator,"Consolidated B-24 Liberator"
f86-sabre,"North American F-86 Sabre"
hawker-hunter,"Hawker Hunter"
gloster-meteor,"Gloster Meteor"
b747-8,"Boeing 747-8 Intercontinental"
a330neo,"Airbus A330neo"
a321xlr,"Airbus A321XLR"
b777-9,"Boeing 777-9 (777X)"
ssj100,"Sukhoi Superjet 100"
mc21,"Irkut MC-21"
mq1-predator,"General Atomics MQ-1 Predator"
mq25-stingray,"Boeing MQ-25 Stingray"
s70-okhotnik,"Sukhoi S-70 Okhotnik-B"
hondajet,"Honda HA-420 HondaJet"
g650,"Gulfstream G650"
phenom300,"Embraer Phenom 300"
h145,"Airbus Helicopters H145"
s92,"Sikorsky S-92 Helibus"
v280-valor,"Bell V-280 Valor"
vickers-viscount,"Vickers Viscount"
il2-sturmovik,"Ilyushin Il-2 Sturmovik"
constellation,"Lockheed Constellation"
arj21,"COMAC ARJ21 Xiangfeng"
an148,"Antonov An-148"
